sim,method,l1
150,GEN,0.5405809043155835
150,CEM,0.3535252398831873
151,RAW,0.6360570856720185
151,MAH,0.558282208588957
151,PSC,0.6380368098159509
151,GEN,0.5772259990051402
151,CEM,0.36422004961330806
152,RAW,0.6406212664277181
152,MAH,0.5185185185185185
152,PSC,0.5851851851851853
152,GEN,0.5662887377173091
152,CEM,0.3869047619047619
153,RAW,0.6133227176220807
153,MAH,0.5222929936305732
153,PSC,0.5796178343949044
153,GEN,0.535031847133758
153,CEM,0.36153591525984774
154,RAW,0.6274568195354377
154,MAH,0.5410958904109588
154,PSC,0.5890410958904109
154,GEN,0.5720786981704514
154,CEM,0.36446886446886445
155,RAW,0.6565699658703071
155,MAH,0.5328947368421052
155,PSC,0.6052631578947368
155,GEN,0.5643859649122807
155,CEM,0.36624877889938134
156,RAW,0.6021931021931022
156,MAH,0.5067567567567568
156,PSC,0.6081081081081081
156,GEN,0.5257132132132132
156,CEM,0.36564327485380116
157,RAW,0.650326500997642
157,MAH,0.5704697986577181
157,PSC,0.6442953020134228
157,GEN,0.5813891552146585
157,CEM,0.3935810810810811
158,RAW,0.6023724337677826
158,MAH,0.5232558139534884
158,PSC,0.6104651162790697
158,GEN,0.5563015753938485
158,CEM,0.3316901408450704
159,RAW,0.6581533776301218
159,MAH,0.5555555555555555
159,PSC,0.6388888888888888
159,GEN,0.5550925925925926
159,CEM,0.42574966005868464
160,RAW,0.6276902338121136
160,MAH,0.5211267605633803
160,PSC,0.6126760563380281
160,GEN,0.58795821285327865
160,CEM,0.38449612403100775
161,RAW,0.6085863121968744
161,MAH,0.5197368421052632
161,PSC,0.5986842105263157
161,GEN,0.5263157894736842
161,CEM,0.3545538702556434
162,RAW,0.6381363695851328
162,MAH,0.5679012345679012
162,PSC,0.6172839506172839
162,GEN,0.5755265068990559
162,CEM,0.3654485049833887
163,RAW,0.6757709644307582
163,MAH,0.5584415584415585
163,PSC,0.6233766233766234
163,GEN,0.6238244514106583
163,CEM,0.4264105642256903
164,RAW,0.6334816462736373
164,MAH,0.5225806451612903
164,PSC,0.6258064516129033
164,GEN,0.5561207609594706
164,CEM,0.36993464052287583
165,RAW,0.6460871170173496
165,MAH,0.5555555555555556
165,PSC,0.6527777777777778
165,GEN,0.5651041666666666
165,CEM,0.4115186615186615
166,RAW,0.6363835185023182
166,MAH,0.5465838509316769
166,PSC,0.6149068322981366
166,GEN,0.5639323195545084
166,CEM,0.40501674436929547
167,RAW,0.6158909981628904
167,MAH,0.5403726708074534
167,PSC,0.6335403726708074
167,GEN,0.5438611418361269
167,CEM,0.36363636363636365
168,RAW,0.6709195402298851
168,MAH,0.5517241379310345
168,PSC,0.6482758620689655
168,GEN,0.5912395153774465
168,CEM,0.37384953981592633
169,RAW,0.6486260454002389
169,MAH,0.4962962962962963
169,PSC,0.6222222222222222
169,GEN,0.5072660446706249
169,CEM,0.3889845094664372
170,RAW,0.6853536767450541
170,MAH,0.524822695035461
170,PSC,0.6382978723404256
170,GEN,0.5476341695776437
170,CEM,0.5106987879694748
171,RAW,0.6171428571428572
171,MAH,0.5314285714285715
171,PSC,0.6285714285714286
171,GEN,0.5418293936279548
171,CEM,0.33857245854361934
172,RAW,0.6735593220338983
172,MAH,0.5666666666666667
172,PSC,0.64
172,GEN,0.5784615384615385
172,CEM,0.4226421188630491
173,RAW,0.6291973791973792
173,MAH,0.5135135135135136
173,PSC,0.6081081081081081
173,GEN,0.5320945945945946
173,CEM,0.35526315789473684
174,RAW,0.6798447450378841
174,MAH,0.5704225352112676
174,PSC,0.6126760563380281
174,GEN,0.5743980009086779
174,CEM,0.4306184012066365
175,RAW,0.6389112722714656
175,MAH,0.5490196078431373
175,PSC,0.6339869281045751
175,GEN,0.5799328740505212
175,CEM,0.3739544163916814
176,RAW,0.6161913687686884
176,MAH,0.525974025974026
176,PSC,0.551948051948052
176,GEN,0.5354645354645354
176,CEM,0.36516129032258066
