sim,method,common_units_share
66,PSC(C),0.6889763779527559
66,MAH(C),0.8009950248756219
66,GEN(C),0.7931034482758621
67,CEM(T),0.9363057324840764
67,CEM(C),0.9712918660287081
67,PSC(C),0.7106227106227107
67,MAH(C),0.837696335078534
67,GEN(C),0.8505154639175257
68,CEM(T),0.9545454545454546
68,CEM(C),0.9813953488372092
68,PSC(C),0.7158273381294964
68,MAH(C),0.7910447761194029
68,GEN(C),0.745
69,CEM(T),0.9668874172185431
69,CEM(C),0.9858490566037735
69,PSC(C),0.7396226415094339
69,MAH(C),0.7857142857142857
69,GEN(C),0.8232323232323232
70,CEM(T),0.9477124183006536
70,CEM(C),0.9675925925925926
70,PSC(C),0.7279411764705882
70,MAH(C),0.7788944723618091
70,GEN(C),0.8316326530612245
71,CEM(T),0.95
71,CEM(C),0.9675925925925926
71,PSC(C),0.7289377289377289
71,MAH(C),0.7788944723618091
71,GEN(C),0.797979797979798
72,CEM(T),0.9685534591194969
72,CEM(C),0.9856459330143541
72,PSC(C),0.7241379310344828
72,MAH(C),0.8040201005025126
72,GEN(C),0.8391959798994975
73,CEM(T),0.9299363057324841
73,CEM(C),0.9714285714285714
73,PSC(C),0.7178571428571429
73,MAH(C),0.7920792079207921
73,GEN(C),0.7874396135265701
74,CEM(T),0.9440993788819876
74,CEM(C),0.9766355140186916
74,PSC(C),0.7209302325581395
74,MAH(C),0.84375
74,GEN(C),0.8407960199004975
75,CEM(T),0.9426751592356688
75,CEM(C),0.9767441860465116
75,PSC(C),0.7428571428571429
75,MAH(C),0.839572192513369
75,GEN(C),0.861244019138756
76,CEM(T),0.9612903225806452
76,CEM(C),0.9815668202764977
76,PSC(C),0.7153558052434457
76,MAH(C),0.826530612244898
76,GEN(C),0.7589743589743589
77,CEM(T),0.9426751592356688
77,CEM(C),0.9716981132075472
77,PSC(C),0.7007575757575758
77,MAH(C),0.7727272727272727
77,GEN(C),0.7958115183246073
78,CEM(T),0.9426751592356688
78,CEM(C),0.9722222222222222
78,PSC(C),0.7357142857142858
78,MAH(C),0.8186274509803921
78,GEN(C),0.7692307692307693
79,CEM(T),0.9290322580645162
79,CEM(C),0.971830985915493
79,PSC(C),0.7075812274368231
79,MAH(C),0.8385416666666666
79,GEN(C),0.7537688442211056
80,CEM(T),0.9411764705882353
80,CEM(C),0.9646464646464646
80,PSC(C),0.7196969696969697
80,MAH(C),0.8229166666666666
80,GEN(C),0.7371134020618557
81,CEM(T),0.9570552147239264
81,CEM(C),0.972972972972973
81,PSC(C),0.6818181818181818
81,MAH(C),0.7839195979899497
81,GEN(C),0.7535545023696683
82,CEM(T),0.9556962025316456
82,CEM(C),0.9766355140186916
82,PSC(C),0.6691449814126395
82,MAH(C),0.8059701492537313
82,GEN(C),0.8173076923076923
83,CEM(T),0.9675324675324676
83,CEM(C),0.9814814814814815
83,PSC(C),0.7313432835820896
83,MAH(C),0.764102564102564
83,GEN(C),0.7286432160804021
84,CEM(T),0.9466666666666667
84,CEM(C),0.9770642201834863
84,PSC(C),0.7464285714285714
84,MAH(C),0.8092783505154639
84,GEN(C),0.7268041237113402
85,CEM(T),0.9673202614379085
85,CEM(C),0.9859154929577465
85,PSC(C),0.7063197026022305
85,MAH(C),0.8578947368421053
85,GEN(C),0.7751196172248804
86,CEM(T),0.94375
86,CEM(C),0.9720930232558139
86,PSC(C),0.7355072463768116
86,MAH(C),0.8223350253807107
86,GEN(C),0.8131313131313131
87,CEM(T),0.9470198675496688
87,CEM(C),0.9807692307692307
87,PSC(C),0.7116104868913857
87,MAH(C),0.815
87,GEN(C),0.8465608465608465
88,CEM(T),0.9430379746835443
88,CEM(C),0.9766355140186916
88,PSC(C),0.7047244094488189
88,MAH(C),0.7908163265306123
