rep,method,mspe_base,mspe_perturbed,mspe_ratio
101,PSC,462269.64256237145,192360.5038539349,0.41612186079898333
102,PSC,57277.27958850186,4697445.640774076,82.01237339695626
103,PSC,272172.55175928713,350717.9369928702,1.2885867245829021
104,PSC,769469.7526238514,1084429.4531236843,1.4093204436247648
105,PSC,312280.49590765085,7224.814221916332,0.023135656298089426
106,PSC,794173.7717683278,286028.115322961,0.3601580982535893
107,PSC,553651.407824563,342514.5623044114,0.6186466022912108
108,PSC,1342861.0429350126,324923.5002700351,0.24196360597360758
109,PSC,1871052.9064733172,310229.1575505354,0.1658045886769047
110,PSC,2436108.70015801,857971.1772758157,0.3521892012536905
111,PSC,185131.4250168956,6263931.1337084705,33.83505060330415
112,PSC,8719.813918934056,3400198.2565226867,389.9393138584705
113,PSC,727615.825833423,2658887.7943717353,3.654246787892776
114,PSC,4117649.844826748,1045590.9211677398,0.25392905190357035
115,PSC,1706926.945394368,116330.13574842096,0.0681517952846799
116,PSC,328243.0867039823,220968.2147159608,0.6731846721732646
117,PSC,187765.11880309656,327406.98867471406,1.7437050649330432
118,PSC,185843.99358779393,1619568.3411790677,8.714666048187201
119,PSC,555066.0332581712,28528.29782905161,0.051396223367504434
120,PSC,415003.33112590475,1233543.7365141457,2.97237068716422
121,PSC,1519445.5552531732,16358.731158644005,0.01076625029576547
122,PSC,175814.5584873527,151922.27010317543,0.8641051765579698
123,PSC,457179.0785925249,1037315.8394697903,2.268948620009645
124,PSC,1204860.491705485,7105895.639794506,5.897691632112596
125,PSC,73881.51163106899,106933.49575339844,1.4473647519202935
126,PSC,416235.78831683996,541930.3289754692,1.301979176675097
127,PSC,506553.5165579959,286317.67161324027,0.5652268955879599
128,PSC,658294.3051169912,940053.2986509559,1.428013718702748
129,PSC,48281.0870978332,5123275.0539321,106.11349830526136
130,PSC,617516.3425998401,445287.2328704241,0.7210938434369127
131,PSC,423610.5359599063,1198382.9681917755,2.828973470823208
132,PSC,3287.3887909346095,1636.072604627863,0.49768150610586137
133,PSC,163375.55936948291,2037969.521768389,12.474139520216776
134,PSC,393523.312174815,1134941.5665653779,2.8840516722963603
135,PSC,632158.3759776731,612477.8058332356,0.968867658972326
136,PSC,1791.653495503055,86931.18808907199,48.520089574945246
137,PSC,40542.46991397269,1457079.011985441,35.939571887880184
138,PSC,253703.52321900503,285038.0491693969,1.1235084383252452
139,PSC,120984.86556174314,285941.32399948937,2.363447053247852
140,PSC,524455.5108032424,407859.84029463667,0.7776824380584144
141,PSC,842343.7546829286,422235.80520979635,0.5012630566350345
142,PSC,16294.44867861668,15946.794066614259,0.9786642298331547
143,PSC,16415.46569934524,83046.30520249673,5.059028280008478
144,PSC,4096821.539919217,2172179.0397941386,0.5302108033333984
145,PSC,1005796.2260603182,64926.78598090554,0.06455262437722832
