sim,method,att
129,PSC,2996.1283480590273
129,GEN,2041.1314906914522
129,CEM,1127.9199128170844
129,CEM.W,904.7635026164722
130,RAW,755.9209842224991
130,MAH,712.5423643624654
130,PSC,-1458.4782610295633
130,GEN,430.80378011502796
130,CEM,1134.4225537695634
130,CEM.W,831.3788489759519
131,RAW,2758.58192550927
131,MAH,2472.9879792415013
131,PSC,-118.53884455066054
131,GEN,1916.5790868965962
131,CEM,1192.6778307993195
131,CEM.W,938.8990629552726
132,RAW,-3599.869394581638
132,MAH,1076.976456136038
132,PSC,1481.7506299099673
132,GEN,1136.0104146515805
132,CEM,1048.155524498722
132,CEM.W,853.4498300076447
133,RAW,1840.6487120417878
133,MAH,2885.952377190696
133,PSC,2851.5472261543805
133,GEN,1452.4568962991812
133,CEM,1218.633266771826
133,CEM.W,1071.5076343009036
134,RAW,-2064.3883618966065
134,MAH,1330.8444128033425
134,PSC,1069.591046111439
134,GEN,1027.3528420417706
134,CEM,1085.664867755072
134,CEM.W,997.2085121949798
135,RAW,-90.93257682745752
135,MAH,2095.187154365283
135,PSC,1212.2797486032596
135,GEN,-56.43545301658539
135,CEM,1280.4162986613692
135,CEM.W,1082.3048132332065
136,RAW,-1856.548798287672
136,MAH,651.228311119597
136,PSC,1156.1408780895213
136,GEN,826.2548992372458
136,CEM,1071.7935835255919
136,CEM.W,838.7295559671129
137,RAW,-1989.0084275240188
137,MAH,1025.4331276241674
137,PSC,429.16706581378867
137,GEN,975.3040706501887
137,CEM,1024.7787970566649
137,CEM.W,929.6924502297143
138,RAW,17.02051981108434
138,MAH,2246.536485855487
138,PSC,-367.5234117860309
138,GEN,1248.2242949632061
138,CEM,1035.5359984252227
138,CEM.W,936.8948800814907
139,RAW,1700.0214689738204
139,MAH,1775.428984332545
139,PSC,119.51619718941765
139,GEN,1136.2810707829253
139,CEM,1050.348034835891
139,CEM.W,1084.5094161779316
140,RAW,-1525.4595028936765
140,MAH,1425.0642951307555
140,PSC,1303.2772463662536
140,GEN,1313.2914739123128
140,CEM,1215.515142852518
140,CEM.W,1114.694864791337
141,RAW,41.588911172701046
141,MAH,1180.8049972391382
141,PSC,617.6384235004452
141,GEN,1054.4419667400653
141,CEM,1244.173226479193
141,CEM.W,1076.4201156248714
142,RAW,1193.7143785256712
142,MAH,1123.2816442934281
142,PSC,2860.7125209433807
142,GEN,350.57255721110215
142,CEM,1151.1811743763642
142,CEM.W,1048.3639707277107
143,RAW,-1101.1085863576036
143,MAH,1012.7281906428439
143,PSC,165.7746745825416
143,GEN,825.6523260627546
143,CEM,1402.7123914604103
143,CEM.W,1224.5203739400818
144,RAW,4652.8186272842895
144,MAH,3250.759060407824
144,PSC,2328.3204961974425
144,GEN,1614.817854987164
144,CEM,1321.4018588998113
144,CEM.W,1180.8212691710714
145,RAW,728.5149767271641
145,MAH,1089.8206540843576
145,PSC,608.8822761758993
145,GEN,271.52706657905617
145,CEM,1117.8499396467637
145,CEM.W,712.1150575680339
146,RAW,4254.344658723329
146,MAH,3032.7184685376687
146,PSC,3607.5936918893176
146,GEN,2272.8159954201587
146,CEM,1215.0213296393174
146,CEM.W,1033.5396338570627
147,RAW,-177.87807370964856
147,MAH,1101.5717231509498
147,PSC,1115.5164445860864
147,GEN,1133.8349959437526
147,CEM,935.6810331818986
147,CEM.W,910.1083911007114
148,RAW,1452.1750196875173
148,MAH,2591.2068465929356
148,PSC,-375.7328489490401
148,GEN,1460.3657312181842
148,CEM,1329.1722178352238
148,CEM.W,1191.9173881557138
149,RAW,-1620.3474650491044
149,MAH,855.1773274460465
149,PSC,820.6342563879043
149,GEN,910.2309475789394
149,CEM,1141.906411881074
149,CEM.W,907.3385183265128
150,RAW,-1223.3498109460188
150,MAH,1453.4100844239001
150,PSC,505.4409740845831
150,GEN,1330.0460856300422
150,CEM,1155.650244967772
150,CEM.W,933.4030955518039
151,RAW,349.54841201286945
151,MAH,2561.3723924871333
151,PSC,2187.586393827615
151,GEN,1501.9990413744397
151,CEM,1250.257935620584
151,CEM.W,1130.4190831850656
152,RAW,3877.7680012719193
152,MAH,2437.744694376548
152,PSC,1717.6708268208658
152,GEN,1154.8524896470747
152,CEM,1279.5999959774133
152,CEM.W,1157.0334143517161
153,RAW,-1462.3288225004426
153,MAH,402.94594015327675
153,PSC,491.0518811282982
153,GEN,513.1754512169116
153,CEM,1043.6881911473515
153,CEM.W,1016.3145485233667
154,RAW,1929.277376964039
154,MAH,2392.2710021855437
154,PSC,2808.5406567163436
154,GEN,1986.4260133127095
154,CEM,1227.4219189698194
154,CEM.W,1017.1296514021142
155,RAW,-740.6038101354106
155,MAH,1547.7312721614858
155,PSC,481.4923360077755
155,GEN,900.4891868059902
155,CEM,1296.8905763541711
155,CEM.W,1144.1738585580376
156,RAW,-2321.16082918362
156,MAH,1094.9616937670485
156,PSC,191.06618103950404
156,GEN,-215.79972392396593
156,CEM,1313.2010244805044
156,CEM.W,1204.5921717308102
