Method,PlaceboATT
EBAL,-971.3775803624249
CEM.W,-298.68758231387346
PSC,421.44165439798326
MAH,163.77653453326002
EBAL,39.248830768199696
CEM.W,113.21234508093858
PSC,394.7811225480109
MAH,445.0883818475486
EBAL,294.02288623630193
CEM.W,509.0414097229432
PSC,1177.8253468728626
MAH,1185.7877340734203
EBAL,997.5800685701597
CEM.W,-86.05232085763419
PSC,475.65526638608935
MAH,413.0752549990257
EBAL,260.66345654517227
CEM.W,-58.202649177333114
PSC,-621.3346594479754
MAH,-765.940979209412
EBAL,-728.0236546695214
CEM.W,-688.1437852266699
PSC,42.70042695581742
MAH,-224.35013504542076
EBAL,-110.41133727463148
CEM.W,418.75882263997846
PSC,209.04715054444569
MAH,472.79246491454614
EBAL,124.82847261760071
CEM.W,60.5424075003948
PSC,-141.52443054147898
MAH,-11.222065588441183
EBAL,-142.08354127533312
CEM.W,-234.02102615861168
PSC,67.43327998151653
MAH,150.55127116245058
EBAL,-99.76376380377496
CEM.W,-1724.886993672802
PSC,-570.7216766562924
MAH,-577.9268423652002
EBAL,-461.7185976553965
CEM.W,694.968780568699
PSC,626.9677690319741
MAH,911.8686057838931
EBAL,958.7654364872742
CEM.W,181.3175764310754
PSC,-80.45051475807486
MAH,-14.320143612948414
EBAL,-64.68221511908541
CEM.W,-635.8793627963323
PSC,351.34739514232024
MAH,-239.6766712047438
EBAL,0.8198031870651903
CEM.W,31.686338247771346
PSC,-438.6487891328852
MAH,80.16850497827
EBAL,-351.7773438526665
CEM.W,-1564.6076367295086
PSC,-1032.9691349504774
MAH,-946.704566249141
EBAL,-1036.820137266841
CEM.W,293.1697689314724
PSC,64.2298143303351
MAH,537.0566243772155
EBAL,-35.94916824255415
CEM.W,-560.1103976468912
PSC,-48.245668610338726
MAH,-312.25977342136775
EBAL,-349.1643533362221
CEM.W,-618.2357687463682
PSC,-290.69795828154565
MAH,-256.2077393579966
EBAL,-414.97265058098765
CEM.W,-448.45576901576896
PSC,-697.4318676187531
MAH,-321.2762947596284
EBAL,-597.9253510693425
CEM.W,-1400.5521122027512
PSC,-847.393275983406
MAH,-550.2355427725952
EBAL,-593.7895519917583
CEM.W,812.8932180357388
PSC,680.8814313483963
MAH,1134.1337654422032
EBAL,772.9619807837871
CEM.W,1048.8888950325372
PSC,505.0084481801241
MAH,387.6394012656674
EBAL,544.6576520250073
CEM.W,498.3413144882152
PSC,191.26501308145725
MAH,662.3171977547281
EBAL,213.2578588688839
CEM.W,-188.30235088603604
PSC,-92.28108527443692
MAH,16.848677920973387
EBAL,42.86610809390277
CEM.W,-304.1273811769224
PSC,82.42847698224523
MAH,514.9592105467309
EBAL,315.59149323836937
CEM.W,-552.6722390327059
PSC,134.89976989540628
MAH,60.72503437337673
EBAL,139.83793302010235
CEM.W,252.19974420757626
PSC,452.79432169596384
MAH,384.0502442639281
EBAL,123.80519023805846
CEM.W,431.94042530125625
PSC,347.123673191777
MAH,326.78818585174304
EBAL,177.26686439917012
CEM.W,-158.04915281753892
PSC,298.79732879484527
MAH,-122.42316903008305
EBAL,217.2034845194703
CEM.W,-1173.0100771325024
PSC,-906.4886977455826
MAH,-1093.3843871736362
EBAL,-865.350797967686
CEM.W,-610.3696232302718
PSC,155.5067408269506
MAH,343.16025719177014
EBAL,193.1054161324655
CEM.W,-1222.4225244245054
PSC,-351.49941853481505
MAH,-401.37459357418993
EBAL,-633.3578817472435
CEM.W,-218.59524406899527
PSC,651.4301335626978
MAH,461.2814396944914
EBAL,351.0330564354754
CEM.W,654.2217418729683
PSC,252.1040737781459
