sim,key,n,method,group
71,MAH(nt),143,MAH,treated
71,MAH(nc),143,MAH,control
71,PSC(nt),143,PSC,treated
71,PSC(nc),143,PSC,control
71,GEN(nt),143,GEN,treated
71,GEN(nc),147,GEN,control
71,CEM(nt),85,CEM,treated
71,CEM(nc),153,CEM,control
72,RAW(nt),154,RAW,treated
72,RAW(nc),291,RAW,control
72,MAH(nt),154,MAH,treated
72,MAH(nc),154,MAH,control
72,PSC(nt),154,PSC,treated
72,PSC(nc),154,PSC,control
72,GEN(nt),154,GEN,treated
72,GEN(nc),139,GEN,control
72,CEM(nt),85,CEM,treated
72,CEM(nc),158,CEM,control
73,RAW(nt),136,RAW,treated
73,RAW(nc),309,RAW,control
73,MAH(nt),136,MAH,treated
73,MAH(nc),136,MAH,control
73,PSC(nt),136,PSC,treated
73,PSC(nc),136,PSC,control
73,GEN(nt),136,GEN,treated
73,GEN(nc),138,GEN,control
73,CEM(nt),80,CEM,treated
73,CEM(nc),142,CEM,control
74,RAW(nt),153,RAW,treated
74,RAW(nc),292,RAW,control
74,MAH(nt),153,MAH,treated
74,MAH(nc),153,MAH,control
74,PSC(nt),153,PSC,treated
74,PSC(nc),153,PSC,control
74,GEN(nt),153,GEN,treated
74,GEN(nc),159,GEN,control
74,CEM(nt),84,CEM,treated
74,CEM(nc),167,CEM,control
75,RAW(nt),145,RAW,treated
75,RAW(nc),300,RAW,control
75,MAH(nt),145,MAH,treated
75,MAH(nc),145,MAH,control
75,PSC(nt),145,PSC,treated
75,PSC(nc),145,PSC,control
75,GEN(nt),145,GEN,treated
75,GEN(nc),144,GEN,control
75,CEM(nt),77,CEM,treated
75,CEM(nc),152,CEM,control
76,RAW(nt),148,RAW,treated
76,RAW(nc),297,RAW,control
76,MAH(nt),148,MAH,treated
76,MAH(nc),148,MAH,control
76,PSC(nt),148,PSC,treated
76,PSC(nc),148,PSC,control
76,GEN(nt),148,GEN,treated
76,GEN(nc),146,GEN,control
76,CEM(nt),85,CEM,treated
76,CEM(nc),158,CEM,control
77,RAW(nt),132,RAW,treated
77,RAW(nc),313,RAW,control
77,MAH(nt),132,MAH,treated
77,MAH(nc),132,MAH,control
77,PSC(nt),132,PSC,treated
77,PSC(nc),132,PSC,control
77,GEN(nt),132,GEN,treated
77,GEN(nc),133,GEN,control
77,CEM(nt),74,CEM,treated
77,CEM(nc),150,CEM,control
78,RAW(nt),129,RAW,treated
78,RAW(nc),316,RAW,control
78,MAH(nt),129,MAH,treated
78,MAH(nc),129,MAH,control
78,PSC(nt),129,PSC,treated
78,PSC(nc),129,PSC,control
78,GEN(nt),129,GEN,treated
78,GEN(nc),147,GEN,control
78,CEM(nt),73,CEM,treated
78,CEM(nc),167,CEM,control
79,RAW(nt),153,RAW,treated
79,RAW(nc),292,RAW,control
79,MAH(nt),153,MAH,treated
79,MAH(nc),153,MAH,control
79,PSC(nt),153,PSC,treated
79,PSC(nc),153,PSC,control
79,GEN(nt),153,GEN,treated
79,GEN(nc),133,GEN,control
79,CEM(nt),90,CEM,treated
79,CEM(nc),144,CEM,control
80,RAW(nt),162,RAW,treated
80,RAW(nc),283,RAW,control
80,MAH(nt),162,MAH,treated
80,MAH(nc),162,MAH,control
80,PSC(nt),162,PSC,treated
80,PSC(nc),162,PSC,control
80,GEN(nt),162,GEN,treated
