sim,method,seconds
110,MAH,0.02599999999983993
110,PSC,0.02599999999983993
110,GEN,10.516999999999825
110,CEM,0.32199999999966167
111,MAH,0.0340000000001055
111,PSC,0.021000000000185537
111,GEN,35.952000000000226
111,CEM,0.3269999999997708
112,MAH,0.02500000000009095
112,PSC,0.021000000000185537
112,GEN,19.050000000000182
112,CEM,0.31399999999985084
113,MAH,0.028999999999996362
113,PSC,0.021999999999934516
113,GEN,23.105000000000018
113,CEM,0.29899999999997817
114,MAH,0.02599999999983993
114,PSC,0.021999999999934516
114,GEN,23.697000000000116
114,CEM,0.3550000000000182
115,MAH,0.028999999999996362
115,PSC,0.02500000000009095
115,GEN,22.554000000000087
115,CEM,0.2860000000000582
116,MAH,0.03099999999994907
116,PSC,0.03300000000035652
116,GEN,35.875
116,CEM,0.42200000000002547
117,MAH,0.023000000000138243
117,PSC,0.02500000000009095
117,GEN,18.507000000000062
117,CEM,0.3420000000000982
118,MAH,0.03000000000020009
118,PSC,0.027000000000043656
118,GEN,32.07900000000018
118,CEM,0.43499999999994543
119,MAH,0.0340000000001055
119,PSC,0.03099999999994907
119,GEN,45.08100000000013
119,CEM,0.38999999999987267
120,MAH,0.03500000000030923
120,PSC,0.02599999999983993
120,GEN,33.73600000000033
120,CEM,0.41899999999986903
121,MAH,0.03000000000020009
121,PSC,0.025000000000545697
121,GEN,36.79500000000007
121,CEM,0.42399999999997817
122,MAH,0.03000000000020009
122,PSC,0.028999999999541615
122,GEN,27.165999999999713
122,CEM,0.4159999999997126
123,MAH,0.03099999999994907
123,PSC,0.02500000000009095
123,GEN,28.492999999999938
123,CEM,0.34700000000020736
124,MAH,0.03099999999994907
124,PSC,0.027000000000043656
124,GEN,61.00199999999995
124,CEM,0.35199999999986176
125,MAH,0.032999999999901775
125,PSC,0.04399999999986903
125,GEN,36.01700000000028
125,CEM,0.5140000000001237
126,MAH,0.027999999999792635
126,PSC,0.023999999999887223
126,GEN,37.971000000000004
126,CEM,0.3530000000000655
127,MAH,0.032999999999901775
127,PSC,0.07500000000027285
127,GEN,17.95400000000018
127,CEM,0.3569999999999709
128,MAH,0.03000000000020009
128,PSC,0.026000000000294676
128,GEN,16.697999999999865
128,CEM,0.3429999999998472
129,MAH,0.028999999999996362
129,PSC,0.026000000000294676
129,GEN,16.81899999999996
129,CEM,0.3350000000000364
130,MAH,0.027999999999792635
130,PSC,0.021999999999934516
130,GEN,16.251000000000204
130,CEM,0.34999999999990905
131,MAH,0.027999999999792635
131,PSC,0.02500000000009095
131,GEN,23.480999999999767
131,CEM,0.3049999999998363
132,MAH,0.027000000000043656
132,PSC,0.027000000000043656
132,GEN,40.71600000000035
132,CEM,0.36599999999998545
133,MAH,0.03099999999994907
133,PSC,0.023000000000138243
133,GEN,23.728000000000065
133,CEM,0.3380000000001928
134,MAH,0.028000000000247383
134,PSC,0.02699999999958891
134,GEN,14.816000000000258
134,CEM,0.3530000000000655
135,MAH,0.02599999999983993
135,PSC,0.026000000000294676
135,GEN,25.19100000000026
135,CEM,0.3350000000000364
136,MAH,0.027000000000043656
136,PSC,0.023000000000138243
136,GEN,36.095000000000255
136,CEM,0.32600000000002183
137,MAH,0.02599999999983993
137,PSC,0.02599999999983993
137,GEN,38.56600000000026
137,CEM,0.2940000000003238
138,MAH,0.028000000000247383
138,PSC,0.021999999999934516
138,GEN,25.721000000000004
138,CEM,0.2969999999995707
139,MAH,0.023999999999887223
139,PSC,0.02099999999973079
139,GEN,22.45699999999988
139,CEM,0.2849999999998545
140,MAH,0.02500000000009095
140,PSC,0.02099999999973079
140,GEN,19.746000000000095
140,CEM,0.29700000000002547
141,MAH,0.02500000000009095
141,PSC,0.021999999999934516
141,GEN,21.197000000000116
141,CEM,0.2739999999998872
142,MAH,0.023000000000138243
142,PSC,0.01900000000023283
142,GEN,14.790999999999713
142,CEM,0.2780000000002474
143,MAH,0.02599999999983993
143,PSC,0.021999999999934516
143,GEN,13.615000000000236
143,CEM,0.28199999999969805
144,MAH,0.021000000000185537
144,PSC,0.021000000000185537
144,GEN,13.48700000000008
144,CEM,0.2829999999999018
145,MAH,0.024999999999636202
145,PSC,0.01999999999998181
145,GEN,23.404999999999745
145,CEM,0.29899999999997817
146,MAH,0.021999999999934516
146,PSC,0.01900000000023283
146,GEN,10.175000000000182
146,CEM,0.3140000000003056
147,MAH,0.027000000000043656
147,PSC,0.021999999999934516
147,GEN,18.373000000000047
147,CEM,0.25600000000031287
148,MAH,0.01999999999998181
148,PSC,0.01999999999998181
148,GEN,11.070000000000164
148,CEM,0.3029999999998836
149,MAH,0.026000000000294676
149,PSC,0.022999999999683496
149,GEN,18.37400000000025
149,CEM,0.2820000000001528
150,MAH,0.02500000000009095
150,PSC,0.02099999999973079
150,GEN,13.420000000000073
150,CEM,0.2880000000000109
151,MAH,0.024999999999636202
151,PSC,0.021999999999934516
151,GEN,28.853000000000065
151,CEM,0.30600000000004
152,MAH,0.02400000000034197
152,PSC,0.02099999999973079
152,GEN,18.826000000000022
152,CEM,0.29799999999977445
153,MAH,0.02500000000009095
153,PSC,0.01999999999998181
153,GEN,16.633000000000266
153,CEM,0.29999999999972715
154,MAH,0.02400000000034197
154,PSC,0.01999999999998181
154,GEN,25.89300000000003
154,CEM,0.27500000000009095
155,MAH,0.023999999999887223
155,PSC,0.01900000000023283
155,GEN,25.144000000000233
155,CEM,0.2869999999998072
